0   1   0
0.01   1.00003   0.0129997
0.02   1.00014   0.0259976
0.03   1.00031   0.0389919
0.04   1.00055   0.0519809
0.05   1.00086   0.0649627
0.06   1.00124   0.0779355
0.07   1.00169   0.0908977
0.08   1.0022   0.103847
0.09   1.00279   0.116783
0.1   1.00344   0.129702
0.11   1.00416   0.142604
0.12   1.00495   0.155487
0.13   1.00581   0.168348
0.14   1.00673   0.181187
0.15   1.00772   0.194001
0.16   1.00877   0.20679
0.17   1.0099   0.21955
0.18   1.01109   0.232282
0.19   1.01234   0.244983
0.2   1.01366   0.257651
0.21   1.01505   0.270286
0.22   1.0165   0.282886
0.23   1.01801   0.295449
0.24   1.01959   0.307974
0.25   1.02123   0.320459
0.26   1.02293   0.332904
0.27   1.0247   0.345306
0.28   1.02652   0.357665
0.29   1.02841   0.369979
0.3   1.03036   0.382248
0.31   1.03237   0.394469
0.32   1.03444   0.406643
0.33   1.03657   0.418767
0.34   1.03876   0.43084
0.35   1.041   0.442862
0.36   1.04331   0.454832
0.37   1.04567   0.466748
0.38   1.04808   0.47861
0.39   1.05055   0.490417
0.4   1.05308   0.502168
0.41   1.05566   0.513862
0.42   1.0583   0.525498
0.43   1.06099   0.537076
0.44   1.06373   0.548595
0.45   1.06652   0.560054
0.46   1.06937   0.571452
0.47   1.07227   0.58279
0.48   1.07521   0.594065
0.49   1.07821   0.605279
0.5   1.08125   0.61643
0.51   1.08434   0.627518
0.52   1.08748   0.638543
0.53   1.09067   0.649503
0.54   1.0939   0.660399
0.55   1.09718   0.671231
0.56   1.10051   0.681997
0.57   1.10387   0.692699
0.58   1.10728   0.703334
0.59   1.11074   0.713904
0.6   1.11424   0.724408
0.61   1.11777   0.734846
0.62   1.12135   0.745218
0.63   1.12497   0.755523
0.64   1.12863   0.765762
0.65   1.13233   0.775935
0.66   1.13607   0.78604
0.67   1.13984   0.79608
0.68   1.14365   0.806052
0.69   1.1475   0.815958
0.7   1.15138   0.825798
0.71   1.1553   0.835571
0.72   1.15926   0.845277
0.73   1.16324   0.854918
0.74   1.16727   0.864492
0.75   1.17132   0.874
0.76   1.17541   0.883443
0.77   1.17952   0.892819
0.78   1.18367   0.902131
0.79   1.18785   0.911377
0.8   1.19206   0.920557
0.81   1.1963   0.929673
0.82   1.20057   0.938725
0.83   1.20487   0.947712
0.84   1.20919   0.956635
0.85   1.21354   0.965494
0.86   1.21792   0.97429
0.87   1.22232   0.983022
0.88   1.22675   0.991692
0.89   1.23121   1.0003
0.9   1.23569   1.00884
0.91   1.24019   1.01733
0.92   1.24472   1.02575
0.93   1.24927   1.03411
0.94   1.25384   1.04241
0.95   1.25844   1.05065
0.96   1.26305   1.05883
0.97   1.26769   1.06694
0.98   1.27235   1.075
0.99   1.27703   1.08301
1   1.28173   1.09095
1.01   1.28644   1.09883
1.02   1.29118   1.10666
1.03   1.29594   1.11443
1.04   1.30071   1.12214
1.05   1.3055   1.1298
1.06   1.31031   1.1374
1.07   1.31513   1.14494
1.08   1.31998   1.15243
1.09   1.32483   1.15986
1.1   1.32971   1.16724
1.11   1.3346   1.17457
1.12   1.3395   1.18184
1.13   1.34442   1.18906
1.14   1.34935   1.19622
1.15   1.3543   1.20334
1.16   1.35926   1.2104
1.17   1.36423   1.21741
1.18   1.36922   1.22437
1.19   1.37422   1.23128
1.2   1.37923   1.23814
1.21   1.38425   1.24495
1.22   1.38928   1.25171
1.23   1.39433   1.25842
1.24   1.39938   1.26508
1.25   1.40445   1.27169
1.26   1.40953   1.27826
1.27   1.41462   1.28478
1.28   1.41971   1.29125
1.29   1.42482   1.29768
1.3   1.42993   1.30406
1.31   1.43506   1.3104
1.32   1.44019   1.31669
1.33   1.44533   1.32293
1.34   1.45048   1.32913
1.35   1.45564   1.33529
1.36   1.46081   1.3414
1.37   1.46598   1.34747
1.38   1.47116   1.3535
1.39   1.47634   1.35949
1.4   1.48154   1.36543
1.41   1.48674   1.37133
1.42   1.49194   1.37719
1.43   1.49715   1.38301
1.44   1.50237   1.38879
1.45   1.50759   1.39453
1.46   1.51282   1.40023
1.47   1.51805   1.40589
1.48   1.52329   1.41152
1.49   1.52853   1.4171
1.5   1.53378   1.42264
1.51   1.53903   1.42815
1.52   1.54429   1.43362
1.53   1.54955   1.43905
1.54   1.55481   1.44445
1.55   1.56008   1.44981
1.56   1.56535   1.45513
1.57   1.57062   1.46042
1.58   1.5759   1.46567
1.59   1.58118   1.47089
1.6   1.58646   1.47607
1.61   1.59175   1.48122
1.62   1.59704   1.48633
1.63   1.60233   1.49141
1.64   1.60762   1.49646
1.65   1.61291   1.50147
1.66   1.61821   1.50646
1.67   1.62351   1.5114
1.68   1.62881   1.51632
1.69   1.63411   1.5212
1.7   1.63941   1.52606
1.71   1.64471   1.53088
1.72   1.65001   1.53567
1.73   1.65532   1.54043
1.74   1.66062   1.54516
1.75   1.66593   1.54986
1.76   1.67124   1.55453
1.77   1.67654   1.55916
1.78   1.68185   1.56378
1.79   1.68716   1.56836
1.8   1.69247   1.57291
1.81   1.69778   1.57743
1.82   1.70308   1.58193
1.83   1.70839   1.5864
1.84   1.7137   1.59084
1.85   1.719   1.59525
1.86   1.72431   1.59964
1.87   1.72961   1.604
1.88   1.73492   1.60833
1.89   1.74022   1.61263
1.9   1.74552   1.61691
1.91   1.75083   1.62117
1.92   1.75613   1.6254
1.93   1.76143   1.6296
1.94   1.76672   1.63378
1.95   1.77202   1.63793
1.96   1.77731   1.64206
1.97   1.78261   1.64616
1.98   1.7879   1.65024
1.99   1.79319   1.65429
